단원 제목,요약 (100자 이내),키워드
01 03,다음 자료에 나타난 민족 운동이 일어난 시기를 연표에서 (가) 단체에 대한 설명으로 옳은 것은? 옳게 고른 것은? (가) 은/는 조선 민족 운동의 중추 기관이 되려는 사 명을 갖고...,"['운동', '사회', '조선어', '운동의', '민족']"
05 07,밑줄 친 ‘당시’에 볼 수 있는 모습으로 가장 적절한 것은? 밑줄 친 ‘파업’에 대한 설명으로 옳은 것은? 왼쪽 그림은 잡지 『별건곤』에 친애하는 전 조선 노동자 여러분! 소개된 ...,"['25013', '것은', '운동을', '받았다', '사건이']"
01 03,(가) 단체에 대한 설명으로 옳은 것은? (가)에 들어갈 내용으로 가장 적절한 것은? 일본 경찰이 압수한 함흥 영생 여자 고등 보통학교 학생의 [사료로 보는 한국사] 일기에 “국어...,"['중국', '조선', '전투', '항일', '황국']"
05 07,밑줄 친 ‘이 시기’에 일제가 실시한 정책으로 옳은 것은? 다음 포스터가 제작된 시기에 있었던 사실로 옳은 것은? 우리들 대화(大和) 협력의 힘이 전쟁을 이겨 내는 원동력이다. 한...,"['시기에', '공동', '25013', '것은', '황국']"
"06 김구 이시영, 조성환, 조소앙, 조완구, 박찬익,",(가) 군사 조직에 대한 설명으로 옳은 것은? (가) 군사 조직에 대한 학생들의 발표 내용으로 옳은 것은? (가)의 이동 방향 한국사 신문 베이징 동 해 특집 : 남북의 묘지에 함...,"['전투에서', '일본군을', '작전을', '옳은 것은', '옳은']"
09 11,"(가) 인물에 대한 설명으로 옳은 것은? 황학수, 김붕준, 성주식, 안훈, 장건상, 유림, 김원봉, 김성숙, 차리석 부주석 (가) 의 항일 투쟁을 조명한 다큐멘터리 촬영 계획 김규...","['장면', '중국', '유상', '발표하였다', '항일']"
10 12,"(가), (나) 시기 사이에 있었던 사실로 옳은 것은? (가) 단체에 대한 설명으로 옳은 것은? (가) 나는 정부 국무 회의에서 한인 애국단을 조직하여 암살 [사료로 보는 한국사]...","['결성되었다', '모든', '제국', '세력을', '옳은']"
01 03,"(가) 군사 조직에 대한 설명으로 옳은 것은? 다음 대화가 이루어진 시기를 연표에서 옳게 고른 것은? 몇 달 후 영국, 미국 대표와 전후 처리를 네. 이집트 카이로에서 (가) (으...","['농지', '정부', '이승만', '수립', '25']"
05 07,다음 자료를 활용한 탐구 주제로 가장 적절한 것은? (가) 위원회가 개최된 시기를 연표에서 옳게 고른 것은? • 조선 인민들이여! 붉은 군대와 연합국 군대들은 조선에서 3월 20일...,"['위원회가', '모스크바', '조선', '25013', '것은']"
09 11,(가) 사건에 대한 설명으로 옳은 것은? 밑줄 친 ‘이 법’에 따라 구성된 위원회에 대한 설명으로 옳 은 것은? 그래프로 살펴보는 제주도의 5·10 총선거 민족정기를 바로잡기 위해...,"['농지', '설명으로', '선거', '우리', '25013']"
01 03,밑줄 친 ‘이 정부’ 시기의 경제 상황으로 옳은 것은? (가)에 대한 설명으로 옳은 것은? 한국사를 바꾼 역사의 한 장면 사진은 이 정부 시기 미국의 원조를 바탕으로 전후 복구 사...,"['경제', '국회', '유신', '성장', '시위']"
02 맹호들은 간다,(가) 민주화 운동에 대한 설명으로 옳은 것은? 밑줄 친 ‘세력’에 대한 설명으로 옳은 것은? 문화유산 포털 문화유산문 포화털유산 검색 문화유산 종목별 검색 군사 정변을 주도한 세...,"['국가', '권력', '설명으로', '설명으로 옳은', '되었다']"
05 07,밑줄 친 ‘새로운 정부’ 시기에 볼 수 있는 모습으로 가장 적절한 것은? 그 이 름 맹 호 -부 대 맹 호부 대용 사 들 아 대한민국의 국무총리 그 이 름 맹 호 -부 대 맹 호부...,"['헌법', '새로운', '되었다', '금융', '내각']"
06 ‘유신 체제의 붕괴 배경’을 가장 잘 표현한 입선작들을 아,"(가), (나) 회의록이 작성된 시기 사이에 있었던 사실로 옳 다음 문서가 작성된 시기를 연표에서 옳게 고른 것은? 은 것은? 키신저 국무장관님 …… 저 조지 맥거번은 18명의 종...","['12', '헌법', '있습니다', '제1차', '역사']"
"17 박정희 대통령, 10·17 비상조치를 단행하다 석유 파동이 일어 부마 민주 항쟁이",밑줄 친 ‘헌법 개정안’에 대한 설명으로 옳은 것은? 래와 같이 소개합니다. [역사 속 오늘] ■ 입선작 10월,"['헌법', '역사', '설명으로 옳은', '설명으로', '옳은']"
09 11,"나다. 전개되다. 19◯◯년 오늘, 박정희 대통령은 안보 위기와 남북 대화 를 구실로 초헌법적 비상조치를 내려 국회 해산 및 정 (가) 당·정치 활동의 중지 등 헌법의 일부 조항 ...","['회의에', '25013', '국회', '해산', '헌법']"
01 03,(가) 민주화 운동에 대한 설명으로 옳은 것은? (가) 운동에 대한 설명으로 옳은 것은? 구술 인터뷰 기록 [일기로 보는 한국사] 면담자구 :술 인(터가뷰) 기록에 참여하시게 된 ...,"['남북', '민주', '대통령', '금융', '민주화']"
02 다음 문서가 작성된 시기를 연표에서 옳게 고른 것은?,"(가), (나) 발표 시기 사이에 있었던 사실로 옳은 것은? 밑줄 친 ‘이 정부’에 대한 설명으로 옳은 것은? (가) (나) 친애하는 국민 여러분! 이 정부가 출범한 지 올해로 만...","['유상', '발표', '개혁', '경제', '정치']"
05 07,"밑줄 친 ‘합당’이 이루어진 배경으로 가장 적절한 것은? ○ 최근 한국 경제는 성장, 물가, 국제 수지 등 기초 경제 여 이것은 민주 자유당의 창당 로고란다. 노태우 건이 비교적 ...","['금융', '따른', '국제', '민주', '한국']"
13 15,(가) 성명에 대한 설명으로 옳은 것은? 밑줄 친 ‘회담’을 추진한 정부에 대한 설명으로 옳은 것은? e영상 역사관 회담에 대한 각계 여론 동향 정책1 담당관실 <사회·문화계> ■...,"['25013', '것은', '남북', '3점', '화폐']"
14 당시에는 매일 아침 조회 시간에 황국 신민 서사,(가)에 대한 설명으로 옳은 것은? [3점] (가) 단체의 활동으로 옳은 것은? 함경남도에서 (가) 이/가 운영하던 연통제가 왜에게 여러분이 보고 계시는 이 탑은 (가) 사건으로 ...,"['주도하였다', '것은', '추진하였다', '있는', '운동을']"
17 19,"(가), (나) 시기 사이에 일어난 사실로 옳은 것은? [3점] 를 크게 외치며 일본어를 늘 사용하도록 강요당 했었죠. 우리끼리 누가 우리말을 사용하나 감시 (가) 순종이 사망하자...","['시위를', '중심으로', '유형 마스터', '마스터', '수능 유형']"
13 15,(가) 대통령이 집권한 시기에 있었던 사실로 옳은 것은? (가) 민주화 운동에 대한 설명으로 옳은 것은? [3점] (가) 관련 정보 콘텐츠 현황 분석 한국사 신문 기록 유형 제목 ...,"['3점', '25013', '옳은', '것은', '옳은 것은']"
17 (가) 군사 조직에 대한 설명으로 옳은 것은? [3점] 19 아카이밑브 줄소개 친 ‘이 소 정 장 부 자 ’에 료 대한 설디명지털으 자로료 옳은 것은?,(가) 법이 제정된 당시에 볼 수 있는 모습으로 가장 적절한 다음 자료에 나타난 민족 운동에 대한 설명으로 옳은 것은? 것은? [3점] 머리로부터 발끝까지 남의 것으로만 살아가던 ...,"['우리', '것은', '3점', '25013', '나타난']"
18 전환기였습니다. 우리는 민주주의 시대를 열었,(가) 은/는 쌍성보 전투를 비롯해 여러 차례 크고 작 근현대사 아카이브 은 전투를 치르면서 많은 전과를 올렸다. …… 지청천은 일 아카이브 소개 소장 자료 디지털 자료 본군과의 ...,"['금융', '위하여', '자료', '25013', '작전을']"
13 15,다음 담화문이 발표된 배경으로 가장 적절한 것은? [3점] 고 서울 올림픽 대회를 치렀습니다. 또 북방 정 대통령께서는 재 책으로 세계의 모든 나라와 교류 협력하는 길을 조선이 연...,"['것은', '3점', '25013', '것은 3점', '옳은 것은']"
14 기로 평소 식민지 교육과 민족 차별에 분노하고 있던 한국의 학생들이,밑줄 친 ‘당시’에 볼 수 있는 모습으로 가장 적절한 것은? 다음 전투가 벌어진 시기를 연표에서 옳게 고른 것은? [3점] [3점] 일본군이 내보낸 전위 중대는 이화일이 이끄는 독...,"['또는', '3점', '발발', '것은', '전쟁']"
17 19,자료에 나타난 민족 운동에 대한 설명으로 옳은 것은? 11월 3일에 시위를 시작하면서 (가) 이/가 일어났습니다. 민족 대표 33인 중 독립 선언서에 서명한 순서는 천도교 지 도자...,"['마스터', '유형 마스터', '배경이 되었다', '수능 유형', '배경이']"
10 기저기 측량하고 다니고 있네. 총독이 정한 기한 내에 소유지를,(가) 단체에 대한 설명으로 옳은 것은? (가) 민주화 운동에 대한 설명으로 옳은 것은? 마지막 힌트까지 공개 ◯ ◯ 일보 1928. △. △△. 되었군요. (가) (가) 당시의 ...,"['장면', '3점', '25013', '것은', '옳은']"
13 15,"밑줄 친 ‘이 섬’에 대한 설명으로 옳은 것은? [3점] 주변에 물어보니 모두 이 사업 신고하도록 되어 있다네. 자네 혹 개항 이후 일본 어민들의 불법 어로 활동이 늘어나자, 대한...","['마스터', '유형 마스터', '수능 유형', '유형', '내용이']"
17 19,(가)에 대한 설명으로 옳은 것은? [3점] 교사의 질문에 대한 학생의 답변으로 가장 적절한 것은? 이 자료는 정우회 선언의 일부입니다. 사회주의 단체인 정우회는 이 선 보도 자료...,"['대학', '자료', '것은', '조선', '것은 3점']"
10 오동에 도착하였다. 홍범 부대 내의 주도권 분쟁과,밑줄 친 ‘이 운동’에 대한 설명으로 옳은 것은? [3점] (가) 대통령의 재임 기간에 있었던 사실로 옳은 것은? [3점] 5월 25일의 예비회담 이후 7월 말 좌익 측이 합작의 ...,"['3점', '25013', '것은', '옳은', '옳은 것은']"
13 15,(가) 섬에 대한 설명으로 옳은 것은? 도가 이끄는 대한 독립군 러시아 혁명군에 의한 독 등의 독립군 연합 부대는 립군의 무장 해제 과정에 울릉도 앞바다에서 동쪽으로 100리의 거...,"['독립군', '전투에서', '러시아', '연합', '등의']"
17 19,(가)에 대한 설명으로 옳은 것은? 밑줄 친 ‘파업’에 대한 설명으로 옳은 것은? [3점] 우리 선열들께서는 실낱같은 희망조차 보이지 않던 그 엄혹한 일제 강 원산에서 일어난 파업...,"['운동', '3점', '것은 3점', '25013', '유형 마스터']"
13 15,(가) 단체에 대한 설명으로 옳은 것은? [3점] (가) 민주화 운동에 대한 설명으로 옳은 것은? [3점] •도서명 : 『도왜실기(屠倭實記)』 •저자 : 김구 •번역 : 엄항섭 •...,"['3점', '것은 3점', '25013', '것은', '옳은']"
33 : 독립 선언을 준비한 민족 대표 인원,(가) 운동에 대한 설명으로 옳은 것은? [3점] (가) 인물에 대한 설명으로 옳은 것은? [3점] 숫자와 경과로 살펴보는 (가) 독서 기록장,"['것은 3점', '3점', '설명으로 옳은', '설명으로', '옳은']"
17 19,"준비 3학년 △반 ◯◯◯ 21,000 : 보성 인쇄소에서 인쇄된 독립 선언서 숫자 ▣ 도서명 : 『조선사회경제사』 130 : 시위를 시작한 날 헌병 경찰들에 의해 주동 ▣ 저자 :...","['임시', '발전', '차별', '만세', '것이다']"
01 06,(가) 군사 조직에 대한 설명으로 옳은 것은? [3점] 다음의 헌법 개정을 이끌어 낸 민주화 운동에 대한 설명으 로 옳은 것은? [3점] 청나라 역사에 꽃다운 이름을 떨친 이는 삼...,"['새로운', '국회', '작전을', '남북', '것은']"
05 09,고대 국가의 정치 · 사회와 문화 근대 국가 수립을 위한 노력 본문 11~17쪽 본문 62~67쪽 자료 탐구 1 ① 2 ② 자료 탐구 1 ① 2 ③ 수능 유형 익히기 수능 유형 익...,"['수능 유형', '유형', '본문', '자료 탐구', '익히기']"
10 15,"흥선 대원군의 정책과 개항 이후 근대적 1910~20년대 일제의 식민지 정책과 개혁의 추진 3 · 1 운동, 대한민국 임시 정부 본문 52~57쪽 본문 86~91쪽 자료 탐구 1 ...","['수능 유형', '유형', '본문', '자료 탐구', '정답']"
11 12 13 14 15 16 17 18 19 20,다양한 민족 운동의 전개 6월 민주 항쟁 이후 사회와 동아시아 본문 96~102쪽 평화를 위한 노력 자료 탐구 1 ⑤ 2 ② 본문 141~145쪽 수능 유형 익히기 자료 탐구 1 ...,"['수능 유형', '유형', '본문', '자료 탐구', '수능']"
13 ④ ⑤ ⑤ ④ ③ ② ② ⑤ ③ ③,내용 없음,['내용']
11 12 13 14 15 16 17 18 19 20,대한민국 정부 수립과 6 · 25 전쟁 1 2 3 4 5 6 7 8 9 10 본문 123~128쪽 ⑤ ⑤ ① ① ③ ③ ① ③ ② ① 3회 자료 탐구 1 ③ 2 ④ 11 12 13...,"['10', '25 전쟁', '수능 유형', '유형', '14']"
11 12 13 14 15 16 17 18 19 20,③ ② ③ ⑤ ① ④ ⑤ ③ ② ③ 1 2 3 4 5 6 7 8 9 10 14 민주화를 위한 노력과 경제 성장 ① ③ ④ ④ ① ③ ⑤ ④ ② ④ 5회 본문 133~138쪽 11 ...,"['14', '10', '성장', '수능 유형', '유형']"
01 01 신석기 시대의 모습 파악,09② 10④ 11④ 12⑤ ③ ③ ⑤ ① ② ④ ⑤ ③ ② ① 2 EBS 수능특강 한국사 2026 수능특강_한국사_정답(01-72).indd 2 2025. 1. 2. 오후 4:4...,"['수능특강', 'ebs 수능특강', 'ebs', '한국사', '수능특강_한국사_정답 01']"
01 ③ 1860년대 이항로와 기정진 등은 열강의 통상 요구와 침략에,고대 국가의 정치 · 사회와 문화 문제 분석 자료의 움집 사진과 농경과 목축을 시작하면서 강가나 바닷가에 정착하여 움집을 짓고 살았다는 것을 통해 (가)에는 신 자료 탐구 본문 1...,"['신라', '문제 분석', '등을', '문제', '피하기']"
"06 행하였다는 것 등을 통해 첫 번째 자료는 이자겸의 권력 장악, 두",태조의 정책 이해 맞서 싸우자는 척화주전론을 주장하여 흥선 대원군의 통상 수교 문제 분석 자료에서 정략결혼으로 6명의 왕후와 부인 23명을 두 거부 정책을 뒷받침하였다. 었다는 것...,"['고려', '문제 분석', '분석 자료에서', '정책을', '문제']"
"07 1170년 정중부, 이의방 등이 무신 정변을 일으켜 많은 문신을 죽",고려의 여진에 대한 외교 정책 이해 번째 자료는 묘청의 서경 천도 운동과 관련된 것임을 알 수 있다. 문제 분석 자료에서 9성을 설치하여 유랑민들이 의지할 곳이 없 ④ 고려 전기에...,"['서경', '무신', '고려의', '일본에', '등을']"
11 부곡·소 등 특수 행정 구역이 일반 군현으로 승격하는 사례도,묘청의 서경 천도 운동 파악 이고 왕을 교체하였다. 문제 분석 정지상 등이 개경은 왕업이 쇠하였으나 서경은 왕기가 오답 피하기 ① 제1차~제3차 갑오개혁은 김홍집 내각 시기에 추 ...,"['서경', '일어났다', '운동은', '시기에', '문제 분석']"
"12 는 것, 문종의 넷째 아들로 태어나 11세에 출가하였다는 것, 해동",공민왕의 정책 이해 있었다. 문제 분석 자료에서 추밀원부사 유인우와 우리 환조(이성계의 아 오답 피하기 ① 신라는 골품에 따라 개인의 사회 활동과 정치 활동 버지)를 보내 쌍성총관...,"['조선', '운동은', '문제 분석', '분석 자료에서', '고려']"
"13 고려 시대 신분 변동의 이해 1145년에 편찬되었다. 후삼국 통일은 936년, 무신 정변은 1170년","고려의 신분 제도 이해 천태종을 창시하여 불교 통합 운동을 벌였다는 것 등을 통해 (가) 문제 분석 자료에서 문무 관리 및 농민(백정), 상인, 수공업자 등 인물은 고려 의천임을 ...","['고려', '행정', '무신', '고려의', '등으로']"
10 EBS 수능특강 한국사,"의 일이다. 문제 분석 이의민이 천민 신분이었으나 의종의 총애와 정중부의 난 때 공을 세워 승진하였다는 것, 유청신은 고이부곡 사람이며 16 선조가 부곡리(部曲吏)를 지냈으나 몽골...","['고려', '문제', '등을', '문제 분석', '시대']"
02 05,2026 수능특강_한국사_정답(01-72).indd 10 2025. 1. 2. 오후 4:46,"['수능특강_한국사_정답', '오후 46', '수능특강_한국사_정답 01', '2026 수능특강_한국사_정답', '72 indd']"
03 선 정조임을 알 수 있다. ③ 정조는 붕당 정치의 폐단을 해소하고,조선 시대 3사의 언론 활동 파악 조선 시대 사림 이해 문제 분석 자료에서 사헌부의 관원인 감찰이 부정을 적발하고 비 문제 분석 자료에서 동인과 서인으로 나뉜 뒤로 당파의 색목이 ...,"['언론', '내용 등을', '등을', '문제 분석', '분석 자료에서']"
12 EBS 수능특강 한국사,조선의 통치 체제 이해 국왕 중심의 국정 운영을 강화하기 위해 탕평 정치를 실시하였다. 문제 분석 자료에서 전국을 8도로 나누고 관찰사를 파견하였으 오답 피하기 ① 통일 신라 신문...,"['조선은', '내용 등을', '고려', '분석 자료에서', '문제 분석']"
04 01 조선 시대 노비의 특징 이해,2026 수능특강_한국사_정답(01-72).indd 12 2025. 1. 2. 오후 4:46,"['12', '수능특강_한국사_정답', '오후 46', '수능특강_한국사_정답 01', '2026 수능특강_한국사_정답']"
14 EBS 수능특강 한국사,양반 신분제 사회와 상품 화폐 경제 문제 분석 자료에서 상속받은 사람이 관청에 신고하여 확인서를 받는다는 내용 등을 통해 (가) 신분이 노비임을 알 수 있다. ③ 노 자료 탐구 본...,"['조선', '내용 등을', '후기', '문제 분석', '문제']"
01 의리를 지키자는 북벌론이 등장하였다.,"2026 수능특강_한국사_정답(01-72).indd 14 2025. 1. 2. 오후 4:46 오답 피하기 ① 임오군란, 갑신정변 등이 청군의 개입으로 실패하 05 였다. 흥선 대원...","['흥선', '고려', '피하기', '오답 피하기', '오답']"
02 이 명시되었다.,"흥선 대원군의 정책 파악 ⑤ 일제는 1907년 헤이그 특사 사건 등을 구실로 하여 고종을 강 문제 분석 자료에서 고종의 아버지라고 제시되었고, 세도 가문의 제 퇴위시켰다. 영향력을...","['강화도', '흥선', '조약', '체결된', '고려']"
16 EBS 수능특강 한국사,병인양요의 배경 이해 ⑤ 고려 성종 때 서희는 거란의 침략을 외교 담판으로 막아 내고 문제 분석 자료에서 프랑스인들이 강화부에 쳐들어왔다는 점을 강동 6주 지역을 확보하였다. 통해...,"['수호', '이해', '분석 자료에서', '문제 분석', '문제']"
"08 의 계열, 학생들이 만세 시위를 계획하였다.","2026 수능특강_한국사_정답(01-72).indd 16 2025. 1. 2. 오후 4:46 다는 점, 베이징에 도착하였고, 기기국 등에서 학습을 시작하였다 상복 입는 기간을 둘러...","['등을', '피하기', '오답 피하기', '오답', '문제 분석']"
12 1 ① 2 ③,"임오군란의 영향 파악 문제 분석 자료에서 구식 군인들이 봉기하였고, 일본인 교관이 돌 11 거문도 사건의 시기 파악 에 맞아 사망하였다는 점 등을 통해 밑줄 친 ‘봉기’가 임오군란...","['청의', '있다는', '등을', '시기', '파악']"
18 EBS 수능특강 한국사,"1880년대의 정치적 변화 파악 문제 분석 자료에서 (가)는 조청 상민 수륙 무역 장정이 체결되었 1 다는 점을 통해 1882년의 사실임을 알 수 있고, (나)는 조선 주재 동학 ...","['제국의', '동학 농민', '농민', '동학', '문제']"
01 미양요가 일어났다.,2026 수능특강_한국사_정답(01-72).indd 18 2025. 1. 2. 오후 4:46 갑오개혁에 반영되었다. 수능 유 형 익히기 본문 65~67쪽 오답 피하기 ① 1923년...,"['운동을 전개하였다', '18', '본문', '사건을', '수능 익히기']"
06 가 독립 협회임을 알 수 있다. ② 독립 협회는 국민 참정권 실현을,교조 신원 운동의 내용 이해 ⑤ 1929년 광주 학생 항일 운동이 일어나자 신간회는 이를 지원하 문제 분석 자료에서 최제우가 억울하게도 날조된 비방을 받아서 기 위해 현지에 진상 ...,"['동학', '동학 농민', '농민', '문제 분석', '분석 자료에서']"
07 오답 피하기 ① 1862년에 일어난 임술 농민 봉기에 대한 대책으로,"을미사변의 배경 파악 위해 의회 설립 운동을 전개하였고, 그 결과 중추원을 의회식으로 문제 분석 자료에서 조선의 왕비가 일본인의 손에 의해 살해되었 개편한 중추원 관제가 반포되었다...","['파악', '이를', '분석 자료에서', '문제 분석', '문제']"
20 EBS 수능특강 한국사,"을미개혁(제3차 갑오개혁)의 내용 이해 삼정이정청이 설치되었으나 큰 성과를 거두지 못하였다. 문제 분석 자료에서 단발령에 반발하며 올린 상소라는 점, 김홍집 ② 임오군란 이후 조선...","['문제 분석', '분석 자료에서', '문제', '자료에서', '분석']"
22 EBS 수능특강 한국사,"2026 수능특강_한국사_정답(01-72).indd 20 2025. 1. 2. 오후 4:46 는 점, 원수부를 설치한다는 점 등을 통해 해당 내용이 대한 제국 07 이 제정한 법령...","['일본', '내용 등을', '체결된', '문제 분석', '분석 자료에서']"
07 신민회의 활동 이해 08,2026 수능특강_한국사_정답(01-72).indd 22 2025. 1. 2. 오후 4:46,"['수능특강_한국사_정답', '오후 46', '수능특강_한국사_정답 01', '2026 수능특강_한국사_정답', '72 indd']"
08 ④ 일제는 무단 통치를 실시하던 1910년대에 토지 조사 사업을 시,"개항 이후 경제 · 사회 · 문화의 변화 문제 분석 자료에서 윤치호 등 105명이 조선 총독 데라우치 암살 미수 혐의로 재판을 받고 있고, 안창호가 가입을 권유한 비밀 결 자료 탐...","['수호', '황국', '비밀', '모스크바 3국', '모스크바']"
03 1907년 대구에서 시작된 국채 보상 운동은 대한매일신보 등 언론,독도의 역사 파악 행하였다. 문제 분석 자료에서 일본이 러일 전쟁 중에 자국 영토로 불법 편 입하였다는 내용 등을 통해 밑줄 친 ‘이 섬’이 독도임을 알 수 있 다. ④ 대한 제국...,"['무역', '통상', '다는', '청의', '문제 분석']"
24 EBS 수능특강 한국사,화폐 정리 사업의 이해 의 지원을 받으며 전국으로 확산되었다. 문제 분석 자료에서 통화 제도의 수탈성이 백동화 정리 과정에서 오답 피하기 ① 고려 인종 때 묘청과 정지상 등은 풍수...,"['화폐', '과정에서', '금융', '무역', '주장하였다']"
26 EBS 수능특강 한국사,"2026 수능특강_한국사_정답(01-72).indd 24 2025. 1. 2. 오후 4:46 약탈되었고 농민들이 공사에 동원되었다는 점, 일제의 제국주의 리주의에 기초하여 『삼국사...","['토지', '조선', '조사', '임시', '이해']"
28 EBS 수능특강 한국사,2026 수능특강_한국사_정답(01-72).indd 26 2025. 1. 2. 오후 4:46 되었다. ⑤ 이승만 정부 시기에 미국의 경제 원조를 바탕으로 밀가루(제 오답 피하기 ①...,"['문제 분석', '분석 자료에서', '문제', '등을', '자료에서']"
04 에 도쿄에서 일왕 암살을 시도하였다.,2026 수능특강_한국사_정답(01-72).indd 28 2025. 1. 2. 오후 4:46 10 수능 유 형 익히기 본문 99~102쪽 다양한 민족 운동의 전개 01④ 02③ 0...,"['브나로드', '문제 분석', '분석 자료에서', '독립군', '문제']"
05 3부의 성격 이해 과 함께 좌익과 우익을 규합하여 조선 건국 준비 위원회를 결성하,"미쓰야 협정 이해 오답 피하기 ① 1884년 김옥균, 박영효 등의 급진 개화파가 갑신 문제 분석 자료에서 펑톈성 경무처장과 조선 총독부 경무국장인 정변을 주도하였다. 미쓰야가 만주...","['조선', '신탁', '정부 수립', '등을', '만주']"
30 EBS 수능특강 한국사,"였다. 문제 분석 자료에서 신민부가 조직된 후 채택된 결의안이라는 점, 신민부는 여러 독립운동 단체가 통합하여 결성되었으며 북만주 08 윤봉길 의거의 영향 이해 일대의 한인들을 관...","['문제 분석', '분석 자료에서', '문제', '자료에서', '분석']"
09 을 요구하자 보수적인 유생들은 왜양일체론을 주장하며 개항 반,2026 수능특강_한국사_정답(01-72).indd 30 2025. 1. 2. 오후 4:46 훙커우 공원에서 진행된 일왕의 생일과 상하이 사변의 승전을 자 오답 피하기 ① 통감부는...,"['임시', '조선', '오답 피하기', '오답', '피하기']"
13 이날은 한·일 학생들의 충돌을 계기로 시작되어 전국으로 확산,"물산 장려 운동의 이해 대 운동을 전개하였다. 문제 분석 자료에서 조선에서 난 물건만 사겠다고 한 점, 경성 방 ③ 일제는 대공황 이후 농민층이 몰락하고 소작 쟁의가 격렬해지 직 ...","['대학', '물산 장려', '물산', '장려', '농촌']"
14 ② 중일 전쟁 발발 이후 일제는 한국인의 민족의식을 말살시키기,6·10 만세 운동의 이해 된 운동에서 유래되었다는 점 등을 통해 (가) 운동은 광주 학생 항 문제 분석 자료에서 순종의 상여가 도로를 통과할 때 독립 만세를 일 운동임을 알 수 ...,"['광주 학생', '만세', '광주', '학생', '항일']"
32 EBS 수능특강 한국사,"6·10 만세 운동의 영향 파악 위해 황국 신민 서사 암송을 강요하였다. 문제 분석 자료에서 사회주의 계열인 조선 공산당, 민족주의 계열 ③ 1880년대 이만손 등 유생들은 영남 ...","['만세', '사회주의', '운동은', '반민족 행위', '행위']"
"11 대륙 침략에 중점을 두고 결정되었으며, 철도 건설 과정에서 일본",2026 수능특강_한국사_정답(01-72).indd 32 2025. 1. 2. 오후 4:46,"['수능특강_한국사_정답', '오후 46', '수능특강_한국사_정답 01', '2026 수능특강_한국사_정답', '72 indd']"
34 EBS 수능특강 한국사,사회 · 문화의 변화와 사회 운동 은 필요한 토지를 약탈하였다. 자료 탐구 본문 105쪽 02 암태도 소작 쟁의 시기 파악 1 ⑤ 문제 분석 자료에서 전남 암태소작회 간부들이 수감...,"['등을', '문제 분석', '분석 자료에서', '문제', '자료에서']"
04 조선 민족 전선 연맹은 중국 국민당 정부의 지원을 받아 한커우,2026 수능특강_한국사_정답(01-72).indd 34 2025. 1. 2. 오후 4:46 12 수능 유 형 익히기 본문 116~118쪽 전시 동원 체제와 광복을 위한 노력 01...,"['중일', '전쟁', '일제는', '분석 자료에서', '문제 분석']"
36 EBS 수능특강 한국사,한중 연합 작전 이해 (우한)에서 조선 의용대를 창설하였다. 문제 분석 자료에서 중국 호로군 사령관 정초 등을 만나 상의했다 오답 피하기 ① 이성계 등은 1388년 위화도 회군을 ...,"['중국', '조선', '연합', '무장', '좌우']"
08 에서 농민군은 일본군과 관군에게 패배하였다.,2026 수능특강_한국사_정답(01-72).indd 36 2025. 1. 2. 오후 4:46,"['수능특강_한국사_정답', '오후 46', '수능특강_한국사_정답 01', '2026 수능특강_한국사_정답', '72 indd']"
09 는 복벽주의를 내세웠다.,"대한민국 임시 정부의 활동 이해 ③ 양헌수가 지휘한 조선군은 1866년 병인양요 당시 정족산성에 문제 분석 자료에서 1944년, 김구 주석, 김규식 부주석, 조소앙 외 서 프랑스군...","['건국', '대한민국', '유상', '대한민국 임시', '당시']"
38 EBS 수능특강 한국사,대한민국 임시 정부의 활동 이해 ② 1934년에 조직된 진단 학회는 실증 사학의 입장에서 한국사를 문제 분석 자료에서 정부 국무 회의에서 회의한 결과 한인 애국단 연구하고 『진단 ...,"['건국', '문제 분석', '반민족 행위', '행위', '반민족']"
08 농지 개혁법의 영향 이해 오답 피하기 ① 1895년 을미사변 이후 생명의 위협을 느낀 고종은,"2026 수능특강_한국사_정답(01-72).indd 38 2025. 1. 2. 오후 4:46 고 있던 하지, 소련 측 대표 스티코프, 미국 측 대표 아놀드가 덕 켰다. 수궁에서 만...","['공동', '반민족', '제헌', '남북', '미소']"
40 EBS 수능특강 한국사,1896년 러시아 공사관으로 피신하는 아관 파천을 단행하였다. 문제 분석 자료에서 정부가 적당한 보상으로 농지를 매수한다는 ② 1907년 고종이 강제 퇴위 당하고 대한 제국의 군대...,"['농지', '유상', '이승만', '25', '정부가']"
42 EBS 수능특강 한국사,2026 수능특강_한국사_정답(01-72).indd 40 2025. 1. 2. 오후 4:46 14 수능 유 형 익히기 본문 136~138쪽 민주화를 위한 노력과 경제 성장 01② ...,"['유신', '문제', '정부', '박정희', '문제 분석']"
44 EBS 수능특강 한국사,2026 수능특강_한국사_정답(01-72).indd 42 2025. 1. 2. 오후 4:46 신 의회와 국민부가 성립되었다. 의 소득을 높이고자 했다는 점 등을 통해 (가) 운동이...,"['민주', '대통령', '민주화', '등을', '노태우']"
03 ④ 대한민국 임시 정부는 1941년 삼균주의를 반영한 대한민국 건,2026 수능특강_한국사_정답(01-72).indd 44 2025. 1. 2. 오후 4:46 기 위해 조직되었다. 안보 위기와 평화 통일에 대비한다는 구실로 10월 유신을 선포하 ...,"['정부 수립', '수립', '이를', '정부', '중일']"
